codePostaleAdresse;adresseAdresse;communeAdresse
75005;10 rue des Fossés-Saint-Jacques;Paris
75005;93 boulevard Saint-Michel;Paris
75006;2 rue Bonaparte;Paris
75006;2W rue de Medicis;Paris
75007;138 rue de Grenelle;Paris
75018;2 rue du Mont-Cenis;Paris
75001;2 impasse Saint-Eustache;Paris
75008;1 place de la Concorde;Paris
75005;13 rue Victor Cousin;Paris
75005;1 rue du Sommerard;Paris
75013;28 avenue des Gobelins;Paris
75005;6 place Paul Painlevé;Paris
75004;2 rue du Bourg Tibourg;Paris
75005;1 place du Panthéon;Paris
75005;1 rue Tournefort;Paris
75006;17 quai Malaquais;Paris
75015;34 rue Saint-Lambert;Paris
75005;254 rue Saint-Jacques;Paris
75004;8 rue François Miron;Paris
75005;41 rue Tournefort;Paris
75006;118 rue de Rennes;Paris
75005;6 rue des Prêtres Saint-Séverin;Paris
75005;1 rue d'Ulm;
75011;6 rue René Villermé;Paris
75007;1v pont Alexandre III;Paris
75006;105 boulevard Saint-Germain;Paris
75006;18 rue Monsieur-le-Prince;Paris
75006;64 boulevard Saint-Michel;Paris
75004;1 rue Neuve Saint-Pierre;Paris
75005;15 rue Gay-Lussac;Paris
75004;26 rue Geoffroy l'Asnier;Paris
75005;15 rue des Fossés Saint-Marcel;Paris
75005;11 place Marcelin Berthelot;Paris
75001;2 place du Louvre;Paris
75005;1 rue Clotilde;Paris
75003;62 rue des Archives;Paris
75003;19 rue Charlot;Paris
75006;2W rue de Medicis;Paris
75005;14 avenue des Gobelins;Paris
75010;64 boulevard de Magenta;Paris
75001;1v place du Châtelet;Paris
75005;21 place du Panthéon;Paris
75008;49 rue la Boétie;Paris
75011;36 rue Saint-Bernard;Paris
75013;54 rue Brillat Savarin;Paris
75006;49 rue Saint-André des Arts;Paris
75005;14 rue des Gobelins;Paris
75013;67 boulevard Saint-Marcel;Paris
75004;1 place de la Bastille;Paris
75005;62 boulevard Saint-Marcel;Paris
75013;1 boulevard Arago;Paris
75005;7 rue Pierre-Nicole;Paris
75020;8V place de la Porte de Bagnolet;Paris
75006;1 rue Hautefeuille;Paris
75004;11 rue de la Reynie;Paris
75005;23 rue Clovis;Paris
75004;24 rue Chanoinesse;Paris
