1889;Découverte ancienne;752
9999;Découverte ancienne;753
1871;Découverte ancienne;754
1879;Découverte ancienne;755
9999;Découverte ancienne;756
2019;Diagnostic;757
1810;Découverte ancienne;758
1997;Diagnostic;759
9999;Découverte ancienne;760
1995;Diagnostic;761
1926;Découverte ancienne;762
1996;Diagnostic;763
1994;Suivi de travaux;764
1923;Découverte ancienne;765
1885;Découverte ancienne;766
1882;Découverte ancienne;767
1953;Découverte ancienne;768
1956;Découverte ancienne;769
1899;Découverte ancienne;770
2019;Diagnostic;771
2020;Diagnostic;772
1999;Fouille;773
2011;Suivi de travaux;774
2008;Diagnostic;775
9999;Diagnostic;776
9999;Découverte ancienne;777
1949;Découverte ancienne;778
9999;Découverte ancienne;779
2008;Fouille;780
1724;Découverte ancienne;781
1880;Découverte ancienne;782
1997;Diagnostic;783
1868;Découverte ancienne;784
2018;Diagnostic;785
2017;Suivi de travaux;786
1870;Découverte ancienne;787
1979;Suivi de travaux;788
1898;Découverte ancienne;789
1879;Découverte ancienne;790
1884;Découverte ancienne;791
1854;Découverte ancienne;792
1854;Découverte ancienne;793
1906;Découverte ancienne;794
1896;Découverte ancienne;795
1905;Découverte ancienne;796
1893;Découverte ancienne;797
1844;Découverte ancienne;798
2014;Diagnostic;799
1899;Découverte ancienne;800
1867;Découverte ancienne;801
2000;Diagnostic;802
2002;Diagnostic;803
9999;Découverte ancienne;804
1888;Découverte ancienne;805
1881;Découverte ancienne;806
1807;Découverte ancienne;807
1899;Découverte ancienne;808
9999;Sondage;809
9999;Découverte ancienne;810
1899;Découverte ancienne;811
1844;Découverte ancienne;812
1914;Découverte ancienne;813
2002;Diagnostic;814
2005;Diagnostic;815
1997;Diagnostic;816
1899;;817
1874;Découverte ancienne;818
1858;Découverte ancienne;819
1995;Diagnostic;820
9999;Découverte ancienne;821
1844;Découverte ancienne;822
1844;Découverte ancienne;823
9999;Découverte ancienne;824
1927;Découverte ancienne;825
1899;Découverte ancienne;826
2014;Diagnostic;827
2018;Diagnostic;828
1858;Découverte ancienne;829
1871;Découverte ancienne;830
1887;Découverte ancienne;831
1884;Découverte ancienne;832
1910;Découverte ancienne;833
9999;Découverte ancienne;834
1851;Découverte ancienne;835
9999;Découverte ancienne;836
2018;Diagnostic;837
9999;Découverte ancienne;838
1876;Découverte ancienne;839
1874;Découverte ancienne;840
1902;Étude documentaire;841
1899;Découverte ancienne;842
1841;Découverte ancienne;843
1912;Découverte ancienne;844
1923;Découverte ancienne;845
1913;Découverte ancienne;846
9999;Suivi de travaux;847
1924;Découverte ancienne;848
1909;Découverte ancienne;849
1924;Découverte ancienne;850
1928;Découverte ancienne;851
9999;Découverte ancienne;852
