651.371.484;6859855.76;"{""coordinates"": [2.337491551160263, 48.83691792068527], ""type"": ""Point""}";"48.8369179207,2.33749155116"
651.973.858;6861204.35;"{""coordinates"": [2.345545561330842, 48.84909097447879], ""type"": ""Point""}";"48.8490909745,2.34554556133"
652.565.744;6860357.35;"{""coordinates"": [2.353705324706978, 48.841517740957336], ""type"": ""Point""}";"48.841517741,2.35370532471"
652.161.469;6861342.32;"{""coordinates"": [2.348086506361917, 48.85034571652513], ""type"": ""Point""}";"48.8503457165,2.34808650636"
652.596.578;6863058.14;"{""coordinates"": [2.353824294008589, 48.86580804795504], ""type"": ""Point""}";"48.865808048,2.35382429401"
651.131.891;6861189.19;"{""coordinates"": [2.3340743197132943, 48.84889135163436], ""type"": ""Point""}";"48.8488913516,2.33407431971"
651.655.439;6861394.1;"{""coordinates"": [2.341185078440279, 48.850773574110484], ""type"": ""Point""}";"48.8507735741,2.34118507844"
647.246.595;6861971.45;"{""coordinates"": [2.281035156299867, 48.85561967505708], ""type"": ""Point""}";"48.8556196751,2.2810351563"
652.301.526;6862213.24;"{""coordinates"": [2.349897318424009, 48.85818820778588], ""type"": ""Point""}";"48.8581882078,2.34989731842"
651.770.283;6861416.4;"{""coordinates"": [2.342747511979454, 48.85098271466488], ""type"": ""Point""}";"48.8509827147,2.34274751198"
651.691.969;6861127.77;"{""coordinates"": [2.3417131237721662, 48.84838124777423], ""type"": ""Point""}";"48.8483812478,2.34171312377"
651.455.567;6860138.1;"{""coordinates"": [2.338604815415974, 48.83946331023931], ""type"": ""Point""}";"48.8394633102,2.33860481542"
652.486.359;6861231.19;"{""coordinates"": [2.352526121891243, 48.84937036909767], ""type"": ""Point""}";"48.8493703691,2.35252612189"
651.845.837;6861002.89;"{""coordinates"": [2.343823905937566, 48.847269732387154], ""type"": ""Point""}";"48.8472697324,2.34382390594"
651.704.935;6860917.14;"{""coordinates"": [2.341913721754273, 48.84648803930345], ""type"": ""Point""}";"48.8464880393,2.34191372175"
652.266.595;6861268.34;"{""coordinates"": [2.349527338172705, 48.84968815136805], ""type"": ""Point""}";"48.8496881514,2.34952733817"
651.961.725;6861418.07;"{""coordinates"": [2.345356087735776, 48.85101200794103], ""type"": ""Point""}";"48.8510120079,2.34535608774"
653.652.831;6860902.44;"{""coordinates"": [2.368456914439385, 48.84649884032874], ""type"": ""Point""}";"48.8464988403,2.36845691444"
652641.87;6859859.21;"{""coordinates"": [2.354797956821329, 48.83704354272108], ""type"": ""Point""}";"48.8370435427,2.35479795682"
653.574.674;6862681.55;"{""coordinates"": [2.367197688226399, 48.862492629723505], ""type"": ""Point""}";"48.8624926297,2.36719768823"
654.693.682;6859022.92;"{""coordinates"": [2.382839505952079, 48.829670185669976], ""type"": ""Point""}";"48.8296701857,2.38283950595"
651.380.464;6862121.0;"{""coordinates"": [2.337354908993945, 48.85728980480506], ""type"": ""Point""}";"48.8572898048,2.33735490899"
652001.86;6861254.86;"{""coordinates"": [2.345921427050171, 48.84954729543107], ""type"": ""Point""}";"48.8495472954,2.34592142705"
653.111.256;6862091.89;"{""coordinates"": [2.360946370608242, 48.857156335827824], ""type"": ""Point""}";"48.8571563358,2.36094637061"
651.514.147;6861729.5;"{""coordinates"": [2.339221465589958, 48.85377918545066], ""type"": ""Point""}";"48.8537791855,2.33922146559"
652.600.089;6862138.54;"{""coordinates"": [2.353974706948772, 48.85753849294014], ""type"": ""Point""}";"48.8575384929,2.35397470695"
653.118.974;6861546.37;"{""coordinates"": [2.361111711111821, 48.85225107435394], ""type"": ""Point""}";"48.8522510744,2.36111171111"
653.729.447;6862364.19;"{""coordinates"": [2.369341786058987, 48.8596498283332], ""type"": ""Point""}";"48.8596498283,2.36934178606"
651.860.975;6859250.65;"{""coordinates"": [2.344228466474755, 48.831512867139004], ""type"": ""Point""}";"48.8315128671,2.34422846647"
652.149.155;6863589.82;"{""coordinates"": [2.347665688719871, 48.87055626171775], ""type"": ""Point""}";"48.8705562617,2.34766568872"
651.244.651;6861403.53;"{""coordinates"": [2.335586251651235, 48.85082743274132], ""type"": ""Point""}";"48.8508274327,2.33558625165"
651.633.498;6860330.62;"{""coordinates"": [2.341007038841394, 48.8412080534337], ""type"": ""Point""}";"48.8412080534,2.34100703884"
651.107.009;6861761.04;"{""coordinates"": [2.333669512417734, 48.85403203532024], ""type"": ""Point""}";"48.8540320353,2.33366951242"
652.367.016;6860276.69;"{""coordinates"": [2.351006797105057, 48.84077774048862], ""type"": ""Point""}";"48.8407777405,2.35100679711"
651.189.657;6862814.78;"{""coordinates"": [2.334674815710816, 48.86351447824266], ""type"": ""Point""}";"48.8635144782,2.33467481571"
651.611.689;6860603.68;"{""coordinates"": [2.340678840863923, 48.84366206549707], ""type"": ""Point""}";"48.8436620655,2.34067884086"
651.999.679;6861431.9;"{""coordinates"": [2.34587172255674, 48.85113922702813], ""type"": ""Point""}";"48.851139227,2.34587172256"
651.685.603;6862691.95;"{""coordinates"": [2.341448616827403, 48.862447240094184], ""type"": ""Point""}";"48.8624472401,2.34144861683"
652.476.674;6863419.53;"{""coordinates"": [2.352149490135066, 48.86904906444706], ""type"": ""Point""}";"48.8690490644,2.35214949014"
652.068.269;6861699.7;"{""coordinates"": [2.346776205400256, 48.853552677464286], ""type"": ""Point""}";"48.8535526775,2.3467762054"
652.596.578;6863058.14;"{""coordinates"": [2.353824294008589, 48.86580804795504], ""type"": ""Point""}";"48.865808048,2.35382429401"
651.306.897;6861596.26;"{""coordinates"": [2.33641239847665, 48.85256529361346], ""type"": ""Point""}";"48.8525652936,2.33641239848"
652.047.391;6861947.22;"{""coordinates"": [2.3464637703271762, 48.85577705061665], ""type"": ""Point""}";"48.8557770506,2.34646377033"
651.539.641;6860823.38;"{""coordinates"": [2.339672153700182, 48.845632447414026], ""type"": ""Point""}";"48.8456324474,2.3396721537"
651.655.875;6860533.46;"{""coordinates"": [2.341288857077517, 48.843033839336385], ""type"": ""Point""}";"48.8430338393,2.34128885708"
646.625.856;6860197.74;"{""coordinates"": [2.27279833211807, 48.839617741553134], ""type"": ""Point""}";"48.8396177416,2.27279833212"
652.863.021;6863720.55;"{""coordinates"": [2.357382644948621, 48.87178451190305], ""type"": ""Point""}";"48.8717845119,2.35738264495"
652197.27;6861202.35;"{""coordinates"": [2.348590093277519, 48.84908960226037], ""type"": ""Point""}";"48.8490896023,2.34859009328"
651.084.531;6862559.75;"{""coordinates"": [2.333271281808237, 48.8612130234503], ""type"": ""Point""}";"48.8612130235,2.33327128181"
653.269.909;6861859.28;"{""coordinates"": [2.363134150733003, 48.85507603821485], ""type"": ""Point""}";"48.8550760382,2.36313415073"
651.474.291;6861226.01;"{""coordinates"": [2.338735783582143, 48.849248350016644], ""type"": ""Point""}";"48.84924835,2.33873578358"
653.624.457;6861647.97;"{""coordinates"": [2.367988987288049, 48.853201349915025], ""type"": ""Point""}";"48.8532013499,2.36798898729"
651.798.828;6865555.72;"{""coordinates"": [2.3426669216402862, 48.88820885848711], ""type"": ""Point""}";"48.8882088585,2.34266692164"
651.975.947;6861369.41;"{""coordinates"": [2.345555385552441, 48.85057548033914], ""type"": ""Point""}";"48.8505754803,2.34555538555"
651.980.411;6860414.14;"{""coordinates"": [2.345724078366861, 48.84198506755103], ""type"": ""Point""}";"48.8419850676,2.34572407837"
653.194.843;6862136.01;"{""coordinates"": [2.362080682234149, 48.85755922619426], ""type"": ""Point""}";"48.8575592262,2.36208068223"
652.723.649;6862517.58;"{""coordinates"": [2.355616506343266, 48.86095614656495], ""type"": ""Point""}";"48.8609561466,2.35561650634"
654.226.315;6859093.54;"{""coordinates"": [2.376465721601286, 48.830272305415356], ""type"": ""Point""}";"48.8302723054,2.3764657216"
650.301.411;6862846.88;"{""coordinates"": [2.322564126048336, 48.86373522950388], ""type"": ""Point""}";"48.8637352295,2.32256412605"
652.320.838;6859806.55;"{""coordinates"": [2.350430350252097, 48.83654627030332], ""type"": ""Point""}";"48.8365462703,2.35043035025"
651487.07;6861319.77;"{""coordinates"": [2.338899219139675, 48.85009249128932], ""type"": ""Point""}";"48.8500924913,2.33889921914"
651781.13;6861318.15;"{""coordinates"": [2.342906464901903, 48.850099951536215], ""type"": ""Point""}";"48.8500999515,2.3429064649"
651.743.604;6860730.46;"{""coordinates"": [2.342461797539137, 48.8448121168466], ""type"": ""Point""}";"48.8448121168,2.34246179754"
652.855.779;6861663.65;"{""coordinates"": [2.357512079228619, 48.853286525824764], ""type"": ""Point""}";"48.8532865258,2.35751207923"
651.569.695;6860359.33;"{""coordinates"": [2.34013449528461, 48.84146146013368], ""type"": ""Point""}";"48.8414614601,2.34013449528"
651.560.748;6860342.04;"{""coordinates"": [2.34001456645177, 48.84130530738677], ""type"": ""Point""}";"48.8413053074,2.34001456645"
652.031.037;6861573.14;"{""coordinates"": [2.346283101761145, 48.85241177021669], ""type"": ""Point""}";"48.8524117702,2.34628310176"
653.104.159;6862781.71;"{""coordinates"": [2.360773540993775, 48.86335929100146], ""type"": ""Point""}";"48.863359291,2.36077354099"
651.451.853;6862407.69;"{""coordinates"": [2.338295094775319, 48.85987338346111], ""type"": ""Point""}";"48.8598733835,2.33829509478"
652.364.461;6859919.2;"{""coordinates"": [2.351012019577729, 48.83756255567478], ""type"": ""Point""}";"48.8375625557,2.35101201958"
651.438.545;6861797.94;"{""coordinates"": [2.338183371760832, 48.854388957458276], ""type"": ""Point""}";"48.8543889575,2.33818337176"
652377.4;6859890.27;"{""coordinates"": [2.351191531205119, 48.83730336068839], ""type"": ""Point""}";"48.8373033607,2.35119153121"
653.298.349;6861732.2;"{""coordinates"": [2.363535691207361, 48.85393526041914], ""type"": ""Point""}";"48.8539352604,2.36353569121"
652.418.083;6859799.38;"{""coordinates"": [2.3517559348302832, 48.83648903095036], ""type"": ""Point""}";"48.836489031,2.35175593483"
651.455.567;6860138.1;"{""coordinates"": [2.338604815415974, 48.83946331023931], ""type"": ""Point""}";"48.8394633102,2.33860481542"
